date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:41	523784/523784	---M--	200	added ('OK')	image/jpeg	etag:%227fe08-5e29305f5c20d%22	http://103.145.63.69:83/uploads/images/shopee-05.jpg	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/shopee-05.jpg	(from http://103.145.63.69:83/)
19:37:42	35667/35667	---M--	200	added ('OK')	image/png	etag:%228b53-5e162cefb484c%22	http://103.145.63.69:83/uploads/images/c9afa5083f149a3356f7a53feeb86aa5.png	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/c9afa5083f149a3356f7a53feeb86aa5.png	(from http://103.145.63.69:83/)
19:37:44	155337/155337	---M--	200	added ('OK')	image/jpeg	etag:%2225ec9-5e35b6c557622%22	http://103.145.63.69:83/uploads/images/z3341457723838_03038252fc3b49c4a08c93c1b0461bef.jpg	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/z3341457723838_03038252fc3b49c4a08c93c1b0461bef.jpg	(from http://103.145.63.69:83/)
19:37:46	6493/6493	---M--	200	added ('OK')	application/javascript	etag:%22195d-5e31d8c23d736%22	http://103.145.63.69:83/assets/js/option-selectors1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/option-selectors1c07.js	(from http://103.145.63.69:83/)
19:37:46	17029/17029	---M--	200	added ('OK')	image/png	etag:%224285-5e31d8c23c3ad%22	http://103.145.63.69:83/assets/images/logo_thaomocxua-04.png	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/images/logo_thaomocxua-04.png	(from http://103.145.63.69:83/)
19:37:48	13006/13006	---M--	200	added ('OK')	application/javascript	etag:%2232ce-5e31d8c23c3ad%22	http://103.145.63.69:83/assets/js/api.jquery.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/api.jquery.js	(from http://103.145.63.69:83/)
19:37:50	1634/1634	---M--	200	added ('OK')	application/javascript	etag:%22662-5e31d8c23cb7e%22	http://103.145.63.69:83/assets/js/ionicons.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/ionicons.js	(from http://103.145.63.69:83/)
19:37:54	1636/1636	---M--	200	added ('OK')	application/javascript	etag:%22664-5e31d8c23c3ad%22	http://103.145.63.69:83/assets/js/appear1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/appear1c07.js	(from http://103.145.63.69:83/)
19:37:56	1737/1737	---M--	200	added ('OK')	application/javascript	etag:%226c9-5e31d8c23c3ad%22	http://103.145.63.69:83/assets/js/cs.script1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/cs.script1c07.js	(from http://103.145.63.69:83/)
19:38:00	21213/21213	---M--	200	added ('OK')	application/javascript	etag:%2252dd-5e31d8c23c3ad%22	http://103.145.63.69:83/assets/js/api-jquery-custom1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/api-jquery-custom1c07.js	(from http://103.145.63.69:83/)
